country,year,male_bmi,male_bp,male_expectancy,female_bmi,female_bp,female_expectancy
United States,2003,28,123.7866,74.5,27.9,119.5971,79.7
Uzbekistan,2003,24.9,127.04,64,24.9,123.7556,70.1
Venezuela,2003,26.9,131.737,68.3,27.4,124.6912,75.9
British Virgin Islands,2003,26.7,133.8553,72,28.4,128.0564,76.3
Vietnam,2003,20.4,125.47,68.2,20.6,121.6101,77.7
Vanuatu,2003,26.2,133.7025,67.2,27.4,130.9046,71.9
Samoa,2003,29.5,131.5847,68.8,32.4,125.2352,74.5
South Africa,2003,25.3,131.8501,52,28.6,130.175,56.2
Zambia,2003,20.3,131.4433,47,22.5,130.1026,49.4
Zimbabwe,2003,21.8,130.6826,42.9,24.6,131.067,44
Afghanistan,2004,20.6,125.041,56.7,20.8,124.519,59.2
Angola,2004,21.7,132.816,48.5,22.6,129.9746,52.7
Albania,2004,26,132.9587,73.8,25.4,129.1085,79.2
Andorra,2004,27.2,132.1891,79.1,26.3,123.6848,81.1
United Arab Emirates,2004,27.5,128.0695,75.2,29.2,122.6801,78.8
Argentina,2004,27.1,127.1919,71.5,26.9,119.3913,78.1
Armenia,2004,24.6,134.2524,67.5,26.6,132.6478,75.1
Antigua and Barbuda,2004,25.3,132.1643,73.2,27,125.1145,78
Australia,2004,27.1,128.885,78.3,26.5,119.4903,83.2
Austria,2004,26.1,131.9882,76.4,24.9,125.3059,82.1
Azerbaijan,2004,24.9,131.3845,63.9,26.8,128.4261,70.8
Burundi,2004,21.4,133.2125,50.4,21,132.5871,53.6
Belgium,2004,26.4,129.7849,76,25.1,123.8587,81.8
Benin,2004,22.1,131.9701,55.6,23.4,129.8206,58
Burkina Faso,2004,20.9,130.2944,51,21.3,129.6866,53.8
Bangladesh,2004,20.2,125.4634,66,20,124.7547,68.5
Bulgaria,2004,26.1,133.8564,69.1,25.3,129.0796,76.3
Bahrain,2004,27.2,130.5961,75.3,28.2,131.6596,78.3
Bahamas,2004,26.8,132.0927,69.2,28.6,124.9393,75.7
Bosnia and Herzegovina,2004,26.1,132.5608,73.4,26.1,133.2659,78.7
Belarus,2004,25.6,135.7571,63.6,26.3,129.7811,75.5
Belize,2004,26.6,126.6684,66.9,29.2,120.6512,71.9
Bermuda,2004,27.9,132.8173,77.1,29.9,125.6879,85
Bolivia,2004,24.2,127.3516,61.9,26.4,122.761,66.2
Brazil,2004,25.2,131.518,67.5,25.6,125.4176,74.9
Barbados,2004,26,129.9786,72.4,28.8,126.4539,76.8
Brunei,2004,24,128.6853,72.7,23,122.5273,77
Bhutan,2004,22.5,126.6836,63.9,22.4,125.1544,66.9
Botswana,2004,21.6,132.8586,49.9,25.7,132.7369,53.3
Canada,2004,27.2,125.214,77.6,26.4,119.6756,82.4
Switzerland,2004,26,130.6927,78.4,24.1,120.9129,83.5
Chile,2004,26.6,132.5969,74.5,27.4,126.204,80.7
China,2004,22.7,126.4629,71.3,22.8,123.7103,76.4
Cote d'Ivoire,2004,22.3,133.5067,50.3,23.4,131.0199,52.5
Cameroon,2004,23.3,129.903,52.7,24.3,126.4065,55.6
"Congo, Dem. Rep.",2004,19.8,131.2118,51.9,21.1,128.4194,55
"Congo, Rep.",2004,21.6,133.4815,56.3,22.5,131.7457,57.6
Colombia,2004,24.5,127.7465,69,26,123.4922,76.5
Comoros,2004,21.9,132.8102,57.8,22.2,130.8584,61.3
Cape Verde,2004,22.9,136.4909,67.8,24.4,132.9093,75.8
Costa Rica,2004,26,127.7781,76.1,26.5,121.4702,80.6
Cuba,2004,24.5,128.3332,74.7,26,125.7717,79.3
Cyprus,2004,27.1,131.576,75.8,25.7,123.791,80.1
Germany,2004,26.9,134.6695,76.1,25.6,126.934,81.9
Djibouti,2004,22.9,131.7228,56.3,23.9,128.8253,59.3
Dominica,2004,24.3,133.3518,70.5,28.3,130.4123,74.5
Denmark,2004,25.7,130.5846,75.4,24.9,121.2744,80.1
Algeria,2004,24.2,129.6348,70.7,25.9,130.3041,72.8
Ecuador,2004,25.3,128.6421,71.4,26.7,123.5279,77.3
Egypt,2004,26.4,125.6241,66.3,29.5,125.4433,70.9
Eritrea,2004,20.8,127.4287,58.2,20.8,124.4847,61.5
Spain,2004,27.1,130.2459,77,26.2,122.9795,83.7
Estonia,2004,25.7,137.8867,67.1,25,129.759,78.1
Ethiopia,2004,20,127.6854,52.2,20.3,124.7941,54.2
Finland,2004,26.4,134.8243,75.3,25.5,127.9756,82.3
Fiji,2004,25.9,129.2885,64.5,28.5,127.2704,68.5
France,2004,25.6,131.981,76.7,24.8,121.8503,83.9
"Micronesia, Fed. Sts.",2004,27.7,131.7428,68.1,30.6,124.8145,73.8
Gabon,2004,23.8,134.3794,60.6,25.2,131.6497,63.1
United Kingdom,2004,27,133.0093,76.6,26.6,126.5565,81.1
Georgia,2004,25,134.9034,66.2,26,130.8453,74.8
Ghana,2004,22.4,129.3139,57.9,23.8,128.7366,60.5
Guinea,2004,22.2,131.5645,53.5,22.1,131.5868,54.6
Gambia,2004,21.3,132.7746,56.6,24,129.84,59.6
Guinea-Bissau,2004,21.5,131.015,49.9,22.6,129.926,54.3
Equatorial Guinea,2004,23,135.7118,53.5,23.7,132.2025,56.6
Greece,2004,26,128.6305,76.5,24.8,123.9091,82.2
Grenada,2004,24.8,130.3767,69.5,26.8,125.2376,74.2
Greenland,2004,25.8,132.7482,67,26.6,126.1786,72.7
Guatemala,2004,25,125.4351,65.6,26.2,120.4994,72.8
Guyana,2004,23.6,127.6339,61.7,26.1,124.3252,68.5
"Hong Kong, China",2004,24.6,126.9897,78.6,23.5,120.2492,84.5
Honduras,2004,24.8,126.8203,67.7,26.2,122.3897,72.1
Croatia,2004,26.2,135.5333,71.9,24.9,131.0964,79
Haiti,2004,23.4,128.1642,56.7,22.9,124.6187,60.2
Hungary,2004,26.7,136.1735,68.7,25.7,129.4521,77.1
Indonesia,2004,21.5,128.3289,64.4,22.6,126.5029,67.1
India,2004,20.9,124.8147,63.3,21.1,123.9888,65.8
Ireland,2004,27.3,135.6258,76,26.3,125.6505,81
Iran,2004,25.1,127.1545,69,26.5,125.4186,73.9
Iraq,2004,26.5,126.8043,60.4,28.1,126.1466,69.9
Iceland,2004,26.7,129.7408,78.7,25.7,119.9665,83.2
Israel,2004,26.7,127.0763,78,26.9,122.7319,82.1
Italy,2004,26.2,131.4239,78.1,24.8,124.8562,83.8
Jamaica,2004,23.6,129.4764,68.2,26.8,124.9888,73.6
Jordan,2004,27.1,124.868,71.1,29.1,122.6233,74.6
Japan,2004,23.3,130.8055,78.6,21.9,123.3409,85.5
Kazakhstan,2004,25.6,133.8426,59.5,26.1,129.2043,70.5
Kenya,2004,21.3,130.2566,55.2,22.8,128.4747,57.4
Cambodia,2004,20.5,122.8722,61.5,21.3,117.7531,65.5
Kiribati,2004,28.6,128.0044,63.2,30.5,121.4193,66.6
Kuwait,2004,28.5,127.9786,75.2,30.6,125.1005,79.1
Lebanon,2004,26.8,128.1908,73.9,27.4,128.6118,77.9
Liberia,2004,21.7,131.5467,54.3,22.8,130.5326,57.7
Libya,2004,26.2,133.9192,69.5,28.7,132.8699,73.9
Sri Lanka,2004,21.7,127.7189,64,22.8,124.5895,70.6
Lesotho,2004,21.4,130.2637,41.6,26.5,130.0336,45.9
Lithuania,2004,26.4,136.3313,66.6,25.9,131.2957,77.9
Luxembourg,2004,27,131.8655,76.2,25.9,124.1537,82.1
Latvia,2004,25.9,135.9864,65.4,25.3,130.0833,76.3
"Macao, China",2004,25.1,127.6639,78.8,24.6,122.9576,84.5
Morocco,2004,25.2,126.5349,66.7,25.9,126.6279,69.9
Moldova,2004,23.9,132.6168,64,26.6,129.6436,71.6
Madagascar,2004,21.2,132.4676,58.8,20.7,131.4023,61.5
Maldives,2004,22.7,127.383,72.6,25.8,123.2587,74.7
Mexico,2004,27,125.7031,71.8,28.2,122.4546,77
Marshall Islands,2004,28.7,127.0506,61.7,30.6,121.4511,66.1
Mali,2004,21.4,126.8919,52.7,22.3,127.5453,54.3
Malta,2004,27.4,132.221,76.9,26.9,125.8079,81.3
Myanmar,2004,20.9,124.3619,58.3,21.9,122.4459,64.4
Montenegro,2004,26.2,135.1496,71.5,25.5,129.784,77.8
Mongolia,2004,24.3,135.3368,60.4,25.4,129.1396,69.9
Mozambique,2004,21.5,135.6542,49.8,22.7,133.9371,52.6
Mauritania,2004,22.3,131.5529,59.9,25.7,129.3818,63.3
Mauritius,2004,24.7,133.5134,69.2,25.8,130.6767,76
Malawi,2004,21.7,133.7131,48.8,22.5,131.8796,52.1
Malaysia,2004,24.3,126.8915,71.7,25,124.4982,76.3
Namibia,2004,22.1,134.9775,49.3,24.6,132.5906,53.1
Niger,2004,21,137.17,52.1,21.7,132.9368,53
Nigeria,2004,22.6,131.3017,47.8,23.4,134.6285,49.8
Nicaragua,2004,25.4,127.5634,64.5,27.1,123.0731,70.4
Netherlands,2004,25.6,131.5972,76.9,25.2,123.0947,81.4
Norway,2004,26.5,134.8698,77.5,25.5,127.2539,82.3
Nepal,2004,20.7,125.1036,62.9,20.4,125.106,66.8
Nauru,2004,33.1,133.4995,55,34.1,127.7415,62.2
New Zealand,2004,27.3,128.0288,77.3,26.9,120.3514,81.4
Oman,2004,25.8,129.4643,72.3,26.5,127.831,77.4
Pakistan,2004,22.1,126.1769,61.9,23.2,126.326,64.4
Panama,2004,25.8,128.8594,72.7,27,122.9201,78.5
Peru,2004,24.4,125.2675,70.7,25.9,120.3812,74.7
Philippines,2004,22.6,126.0124,68.3,23.1,122.4564,71.8
Palau,2004,29.6,130.8445,63.6,30.9,125.0546,71.8
Papua New Guinea,2004,24.7,122.2831,60,25.2,118.9056,64
Poland,2004,26.3,134.245,70.7,25.8,129.8866,79.2
Puerto Rico,2004,27.8,129.4595,73.1,29.6,122.2564,81.2
Portugal,2004,26.4,134.951,75,26.1,128.5481,81.8
Paraguay,2004,25.2,129.6872,67.5,25.5,123.6625,73.8
French Polynesia,2004,30.1,131.8553,77.3,31.3,124.4775,82.3
Qatar,2004,27.6,130.695,75.1,28.5,127.8099,77.7
Romania,2004,25,132.92,66.2,25,129.1783,73
Russia,2004,25.4,131.4116,59.5,26.8,128.4165,73
Rwanda,2004,22.2,134.2717,54.7,21.8,133.5989,56.2
Saudi Arabia,2004,27.4,128.7172,72.7,29,127.1553,76
Sudan,2004,21.9,131.9653,53.4,22.7,128.6564,60.6
Senegal,2004,21.6,131.4531,58.9,23.8,129.6045,61.1
Singapore,2004,23.8,127.9077,76.9,23.1,122.5171,82.6
Solomon Islands,2004,26.7,125.2639,65.9,28.2,123.1615,70.1
Sierra Leone,2004,22.1,133.3452,46.9,23.3,133.8361,48.2
El Salvador,2004,25.9,125.0176,65.6,27.2,119.7997,75
Somalia,2004,21.7,131.9349,49,22.3,130.2991,52.1
Serbia,2004,26.2,136.9456,69.7,25.5,130.8193,75.6
Sao Tome and Principe,2004,23,135.7195,61.6,24.3,134.9565,65.9
Suriname,2004,25,128.8021,63.4,27.2,124.5598,69.8
Slovak Republic,2004,26.5,135.4171,70.3,26.1,130.1198,78
Slovenia,2004,27.1,136.3939,73.7,26.5,130.6621,81.1
Sweden,2004,26.1,132.4273,78.4,25,124.3357,82.7
Seychelles,2004,25,135.5661,66.7,27.6,129.1475,76.1
Syria,2004,26.6,127.9373,70.4,28.5,127.4846,74.8
Chad,2004,21.1,130.4685,47.2,21.4,127.2924,49.3
Togo,2004,21.6,131.793,55,22.3,130.1979,56.1
Thailand,2004,22.7,124.1685,69.3,24.1,120.6019,77
Tajikistan,2004,23.4,131.1956,63.7,23.5,129.1384,68.5
Turkmenistan,2004,24.7,132.0833,62.4,24.2,129.048,69.8
Timor-Leste,2004,20.6,125.2244,60.1,21.3,122.0454,63.3
Tonga,2004,30.4,130.0661,66.6,33.4,125.0855,73.1
Trinidad and Tobago,2004,25.9,129.5969,67.7,27.8,124.5751,74.5
Tunisia,2004,24.7,128.7048,71.9,27.5,129.322,77.3
Turkey,2004,26.1,124.8335,70,28,125.3976,76.6
Taiwan,2004,24.2,125.1819,74.3,23.1,118.2897,80.7
Tanzania,2004,22.1,129.6877,54.4,22.7,129.2639,56.7
Uganda,2004,22.1,133.8493,50.2,22.1,133.3713,52.8
Ukraine,2004,24.9,135.8825,62.8,25.9,131.357,74.2
Uruguay,2004,26.1,131.7094,71.7,26.1,124.447,80.3
United States,2004,28.1,123.6603,75,28,119.4168,80.1
Uzbekistan,2004,24.9,127.2972,64.3,25,123.8433,70.5
Venezuela,2004,26.9,131.7175,69,27.6,124.4685,76.3
British Virgin Islands,2004,26.8,134.0475,72.3,28.5,127.9609,76.5
Vietnam,2004,20.5,125.7135,68.3,20.7,121.7133,77.9
Vanuatu,2004,26.3,133.7926,67.3,27.6,131.1835,71.9
Samoa,2004,29.7,131.788,69,32.7,125.5034,74.7
South Africa,2004,25.6,132.1673,51.9,28.8,130.3036,55.7
Zambia,2004,20.4,131.9682,48.4,22.6,130.5382,50.5
Zimbabwe,2004,21.9,130.8911,43.5,24.6,131.2206,45.5
Afghanistan,2005,20.6,125.2112,57,20.8,124.6693,59.7
Angola,2005,21.8,132.976,49.5,22.8,130.0129,53.6
Albania,2005,26.1,133.1678,74,25.5,129.1311,79.5
Andorra,2005,27.3,132.0176,80.1,26.3,123.226,83.8
United Arab Emirates,2005,27.6,128.0866,75.4,29.3,122.4202,79
Argentina,2005,27.2,127.4415,71.7,27.1,119.254,78.5
Armenia,2005,24.8,134.5294,67.6,26.7,132.7288,75.8
Antigua and Barbuda,2005,25.4,132.4058,73.1,27.1,125.1327,78.4
Australia,2005,27.3,128.4552,78.7,26.6,118.975,83.5
Austria,2005,26.2,131.8182,76.6,25,124.9986,82.2
Azerbaijan,2005,25.1,131.4997,64.2,27,128.4723,70.9
Burundi,2005,21.4,133.6632,51.4,21.1,132.9876,54.6
Belgium,2005,26.5,129.4407,76.1,25.1,123.3324,81.9
Benin,2005,22.2,132.2019,55.7,23.5,129.9257,58.5
Burkina Faso,2005,21,130.6252,51.5,21.4,129.9287,54.6
Bangladesh,2005,20.3,125.5541,66,20.1,124.845,68.8
Bulgaria,2005,26.2,133.9319,69,25.4,128.9309,76.3
Bahrain,2005,27.4,130.5874,75.6,28.4,131.2402,78.7
Bahamas,2005,26.9,132.2531,69.4,28.8,124.8251,76
Bosnia and Herzegovina,2005,26.3,132.7762,72.4,26.2,133.2903,78.3
Belarus,2005,25.7,135.9834,63.6,26.3,129.7748,75.6
Belize,2005,26.7,126.9362,67.2,29.4,120.7194,71.8
Bermuda,2005,28,132.9392,74.3,30,125.2612,81.5
Bolivia,2005,24.3,127.541,62.3,26.5,122.6736,66.7
Brazil,2005,25.4,131.8909,68.3,25.7,125.2443,75.4
Barbados,2005,26.1,130.2517,72.7,28.9,126.4476,76.9
Brunei,2005,24.1,128.4627,72.8,23,122.1473,77.1
Bhutan,2005,22.6,126.835,64.4,22.5,125.1651,67.5
Botswana,2005,21.7,133.0297,50.8,25.8,132.8474,54.4
Canada,2005,27.3,124.8126,77.7,26.5,119.2675,82.4
Switzerland,2005,26,130.6513,78.6,24.1,120.5706,83.7
Chile,2005,26.7,132.7963,74.9,27.5,126.0669,81.1
China,2005,22.8,126.7851,71.6,22.8,123.8767,76.8
Cote d'Ivoire,2005,22.4,133.7732,50.8,23.5,131.1362,52.9
Cameroon,2005,23.4,130.2584,53,24.5,126.6417,55.7
"Congo, Dem. Rep.",2005,19.8,131.5445,52.4,21.2,128.6162,55.5
"Congo, Rep.",2005,21.6,133.5728,57.5,22.7,131.7435,58.7
Colombia,2005,24.6,128.3128,69.5,26,123.5918,76.8
Comoros,2005,21.9,133.1934,57.9,22.3,131.157,61.4
Cape Verde,2005,23.1,136.8748,68.8,24.5,133.0485,76.2
Costa Rica,2005,26.1,128.0833,76.2,26.6,121.4544,80.9
Cuba,2005,24.7,128.5606,74.8,26.2,125.858,79.5
Cyprus,2005,27.1,131.4983,76,25.8,123.4697,80.3
Germany,2005,27,134.2157,76.4,25.6,126.4192,82
Djibouti,2005,23,131.9788,56.5,24.1,128.941,60.2
Dominica,2005,24.4,133.7296,69.3,28.4,130.5891,75.5
Denmark,2005,25.8,130.3788,75.9,24.9,120.8508,80.4
Algeria,2005,24.3,129.7574,71.1,26,130.2373,73.1
Ecuador,2005,25.3,128.799,71.6,26.8,123.4309,77.5
Egypt,2005,26.5,125.6969,66.4,29.7,125.3818,71.2
Eritrea,2005,20.9,127.8195,58.8,20.8,124.8166,62.4
Spain,2005,27.2,130.2645,77,26.2,122.7442,83.6
Estonia,2005,25.9,138.0838,67.7,25.1,129.6701,78.5
Ethiopia,2005,20,128.1182,52.7,20.4,125.2501,55.3
Finland,2005,26.5,134.9073,75.5,25.5,127.6283,82.3
Fiji,2005,26.1,129.387,64.8,28.7,127.3532,68.7
France,2005,25.7,131.7394,76.7,24.8,121.389,83.8
"Micronesia, Fed. Sts.",2005,27.8,131.8434,68.1,30.8,124.9707,73.9
Gabon,2005,23.8,134.2748,60.7,25.4,131.3128,63.2
United Kingdom,2005,27.1,132.5538,76.9,26.7,125.9355,81.2
Georgia,2005,25.2,135.0437,66.5,26.1,130.7736,75.6
Ghana,2005,22.5,129.3691,58.4,23.9,128.64940000000001,61.1
Guinea,2005,22.3,131.8751,53.9,22.2,131.7603,55.3
Gambia,2005,21.4,133.0144,56.8,24.2,129.9648,60
Guinea-Bissau,2005,21.5,131.3253,50.1,22.7,130.1029,54.4
Equatorial Guinea,2005,23.3,135.9621,53.9,23.9,132.2278,57.1
Greece,2005,26.1,128.5975,76.7,24.9,123.6787,82.7
Grenada,2005,24.9,130.7365,70.7,26.9,125.3122,76.5
Greenland,2005,25.8,132.8493,67.6,26.6,125.8585,71.1
Guatemala,2005,25,125.7912,65.7,26.4,120.5871,72.7
Guyana,2005,23.6,127.9471,61.9,26.2,124.5611,68.7
"Hong Kong, China",2005,24.7,127.1557,79,23.5,120.0291,84.7
Honduras,2005,24.8,127.1746,68.2,26.4,122.5214,72.1
Croatia,2005,26.3,135.5197,71.9,25,130.9106,78.8
Haiti,2005,23.4,128.5943,58.3,23,124.7744,62.6
Hungary,2005,26.8,136.1575,68.6,25.8,129.2483,77.1
Indonesia,2005,21.6,128.4914,66,22.7,126.5071,69.3
India,2005,20.9,124.6478,63.7,21.2,123.7865,66.4
Ireland,2005,27.4,135.5257,76.6,26.4,125.4265,81.2
Iran,2005,25.1,127.3912,69.5,26.7,125.3857,74.4
Iraq,2005,26.5,126.9375,60.1,28.1,126.0739,69.9
Iceland,2005,26.9,129.7162,79.3,25.8,119.652,83.2
Israel,2005,26.8,126.9825,78.2,27,122.3455,82.1
Italy,2005,26.3,131.2664,78.2,24.8,124.5585,83.7
Jamaica,2005,23.7,129.7736,68.5,26.9,125.0611,73.7
Jordan,2005,27.2,124.948,71.3,29.2,122.3479,74.8
Japan,2005,23.4,130.7231,78.5,21.9,123.0188,85.4
Kazakhstan,2005,25.8,133.9942,59.6,26.2,129.1458,70.8
Kenya,2005,21.4,130.688,56.1,22.8,128.8214,58.5
Cambodia,2005,20.6,123.0164,62.2,21.4,117.7437,66.2
Kiribati,2005,28.8,128.2062,63.2,30.7,121.5638,66.6
Kuwait,2005,28.7,127.8357,75.3,30.7,124.6361,79.2
Lebanon,2005,26.9,128.3365,74.2,27.5,128.3095,78.1
Liberia,2005,21.8,131.8362,55.3,22.9,130.6995,58.5
Libya,2005,26.3,134.527,69.5,28.9,133.0286,74
Sri Lanka,2005,21.7,127.8784,68.1,22.9,124.6916,76.7
Lesotho,2005,21.5,130.5856,41.2,26.5,130.3088,45.4
Lithuania,2005,26.5,136.5718,65.9,25.9,131.1582,77.7
Luxembourg,2005,27.1,131.6012,76.7,25.9,123.6927,81.9
Latvia,2005,26,136.1742,65.1,25.4,129.9906,76.4
"Macao, China",2005,25.2,127.6974,79.2,24.7,122.6664,84.7
Morocco,2005,25.3,126.6718,67.1,25.9,126.5832,70.4
Moldova,2005,24,132.853,64.2,26.8,129.7287,72
Madagascar,2005,21.3,132.8668,59.3,20.7,131.7456,61.9
Maldives,2005,22.8,127.5675,73.6,25.9,123.2415,76.3
Mexico,2005,27.1,125.9172,71.8,28.4,122.355,77
Marshall Islands,2005,28.9,127.2026,61.8,30.8,121.4625,65.8
Mali,2005,21.5,127.0582,53.2,22.5,127.6959,54.9
Malta,2005,27.5,132.1193,77.2,27,125.4232,82
Myanmar,2005,21,124.6894,58.6,22,122.6886,64.8
Montenegro,2005,26.3,135.2429,71.3,25.5,129.6839,77.2
Mongolia,2005,24.4,135.603,60.4,25.4,129.3075,70.1
Mozambique,2005,21.6,136.1284,50.1,22.9,134.315,52.9
Mauritania,2005,22.4,131.8319,59.9,25.9,129.5255,63.4
Mauritius,2005,24.8,133.7286,69.3,25.9,130.7147,76.2
Malawi,2005,21.7,134.3282,50.1,22.6,132.3766,54
Malaysia,2005,24.4,126.9207,71.9,25.1,124.3735,76.4
Namibia,2005,22.2,135.2483,49.8,24.8,132.7895,53.7
Niger,2005,21,137.7292,53.1,21.8,133.4083,54
Nigeria,2005,22.7,131.6876,48.4,23.5,134.8491,50.3
Nicaragua,2005,25.5,127.8514,65,27.2,123.1661,70.9
Netherlands,2005,25.7,131.48,77.2,25.3,122.7235,81.6
Norway,2005,26.6,134.7656,77.7,25.6,126.9436,82.5
Nepal,2005,20.7,125.1632,63.5,20.4,125.2358,67.5
Nauru,2005,33.3,133.6231,55.1,34.3,127.6965,62.3
New Zealand,2005,27.4,127.845,77.9,27.1,119.967,82.1
Oman,2005,25.9,129.4917,72.3,26.5,127.6007,77.5
Pakistan,2005,22.2,126.4158,61.2,23.2,126.3907,64
Panama,2005,25.9,129.0879,73,27.2,122.8406,78.8
Peru,2005,24.5,125.291,71.1,25.9,120.1958,75
Philippines,2005,22.7,126.128,68.5,23.2,122.4393,72
Palau,2005,29.8,130.8497,63.7,31.2,124.9431,71.2
Papua New Guinea,2005,24.8,122.357,60.1,25.3,119.2011,63.9
Poland,2005,26.4,134.4294,70.8,25.8,129.8305,79.3
Puerto Rico,2005,27.9,129.6188,73.1,29.8,121.9539,81.4
Portugal,2005,26.5,134.8441,74.9,26.1,128.22,81.6
Paraguay,2005,25.3,129.8807,67.6,25.6,123.6456,73.7
French Polynesia,2005,30.3,131.7852,77.3,31.5,124.3343,82.4
Qatar,2005,27.7,130.684,75,28.6,127.4401,78.3
Romania,2005,25.1,133.0008,67.3,25.1,129.0987,74
Russia,2005,25.6,131.6289,59.7,26.9,128.4384,73.2
Rwanda,2005,22.3,134.6874,56.3,21.8,133.9343,58.2
Saudi Arabia,2005,27.5,128.9158,73.3,29.2,127.0724,76.2
Sudan,2005,22.1,132.3969,53.9,22.8,128.9104,61
Senegal,2005,21.7,131.7123,59.7,23.9,129.7682,62.1
Singapore,2005,23.8,127.8954,77.5,23.1,122.1966,83.2
Solomon Islands,2005,26.8,125.3711,66.1,28.3,123.3976,70.1
Sierra Leone,2005,22.2,133.7296,47.6,23.4,134.0639,48.8
El Salvador,2005,26,125.325,65.6,27.4,119.7913,75.1
Somalia,2005,21.8,132.3526,49.2,22.4,130.6133,52.2
Serbia,2005,26.3,136.9715,69.8,25.5,130.7015,75.6
Sao Tome and Principe,2005,23.1,136.1348,61.5,24.4,135.2851,66.1
Suriname,2005,25.1,129.1653,64,27.3,124.5779,70.4
Slovak Republic,2005,26.6,135.4639,70.2,26.2,129.9818,78.1
Slovenia,2005,27.2,136.4031,74.2,26.5,130.5152,81.1
Sweden,2005,26.1,132.2679,78.4,25.1,123.9606,82.7
Seychelles,2005,25.1,135.602,67.1,27.6,129.0452,76.5
Syria,2005,26.7,128.0314,70.6,28.6,127.3824,75.1
Chad,2005,21.2,130.7173,47.3,21.6,127.4874,49.3
Togo,2005,21.7,132.0766,55.4,22.4,130.415,56.5
Thailand,2005,22.8,124.3049,70,24.2,120.6046,77.8
Tajikistan,2005,23.5,131.4789,64.2,23.6,129.3558,69
Turkmenistan,2005,24.8,132.3087,62.6,24.4,129.0822,69.6
Timor-Leste,2005,20.6,125.3939,60.8,21.4,122.2034,64
Tonga,2005,30.6,130.1852,66.8,33.6,125.2538,73.1
Trinidad and Tobago,2005,26,129.9068,67.9,27.9,124.6884,74.8
Tunisia,2005,24.8,128.7603,72,27.6,129.1407,77.7
Turkey,2005,26.3,124.5642,70.3,28.1,125.1012,76.9
Taiwan,2005,24.3,125.2114,74.2,23.1,118.1477,80.8
Tanzania,2005,22.2,130.1545,55.2,22.8,129.6436,57.4
Uganda,2005,22.2,134.2451,51.6,22.2,133.663,54.3
Ukraine,2005,25.1,136.1785,62.5,25.9,131.4186,74
Uruguay,2005,26.1,131.8554,71.9,26.2,124.3858,80.4
United States,2005,28.2,123.5687,75,28.1,119.2029,80.1
Uzbekistan,2005,25,127.5829,64.7,25.1,123.9485,70.3
Venezuela,2005,27.1,131.7484,69.1,27.7,124.2583,76.7
British Virgin Islands,2005,26.9,134.295,72.3,28.6,127.8747,77.5
Vietnam,2005,20.6,125.9538,68.5,20.8,121.8003,78
Vanuatu,2005,26.4,133.892,67.3,27.8,131.4527,71.9
Samoa,2005,29.9,131.9515,69.1,33,125.7061,74.7
South Africa,2005,25.9,132.5321,52.1,29,130.4554,55.4
Zambia,2005,20.4,132.5372,49.6,22.7,131.0159,51.6
Zimbabwe,2005,21.9,131.1161,43.9,24.6,131.3989,45.6
Afghanistan,2006,20.6,125.3705,57.1,20.9,124.8126,60.2
Angola,2006,21.9,133.166,50.2,23,130.0599,54.5
Albania,2006,26.2,133.3954,74.2,25.5,129.16,79.7
Andorra,2006,27.4,131.8713,81.7,26.4,122.7688,84.4
United Arab Emirates,2006,27.8,128.0618,75.6,29.4,122.1904,79.3
Argentina,2006,27.3,127.7695,72.1,27.2,119.1195,78.7
Armenia,2006,25,134.8026,67.7,26.9,132.7899,76
Antigua and Barbuda,2006,25.5,132.7429,73,27.2,125.183,78.3
Australia,2006,27.4,128.0217,78.9,26.7,118.4483,83.6
Austria,2006,26.3,131.6584,77.1,25,124.7208,82.6
Azerbaijan,2006,25.3,131.6587,64.8,27.2,128.5431,71.6
Burundi,2006,21.4,134.1373,52.3,21.1,133.3746,55.4
Belgium,2006,26.6,129.135,76.5,25.1,122.8311,82.2
Benin,2006,22.3,132.4117,56,23.6,130.0325,58.8
Burkina Faso,2006,21.1,130.9523,52.2,21.5,130.1838,55.2
Bangladesh,2006,20.3,125.6533,65.9,20.3,124.9125,68.8
Bulgaria,2006,26.3,134.0152,69.2,25.4,128.7614,76.3
Bahrain,2006,27.5,130.5565,75.8,28.5,130.8232,78.9
Bahamas,2006,27,132.4249,69.5,28.9,124.6921,76.2
Bosnia and Herzegovina,2006,26.4,132.9634,73.2,26.3,133.2884,79.1
Belarus,2006,25.9,136.1985,64.2,26.4,129.8001,76
Belize,2006,26.8,127.2454,67.7,29.5,120.8045,72.8
Bermuda,2006,28.1,133.1118,74,30.1,124.8415,81.3
Bolivia,2006,24.3,127.7494,62.6,26.6,122.5841,67.1
Brazil,2006,25.5,132.3472,68.5,25.8,125.1099,75.7
Barbados,2006,26.2,130.5711,72.8,29,126.4435,77.2
Brunei,2006,24.1,128.3144,72.8,22.9,121.7434,77.1
Bhutan,2006,22.6,126.9573,64.9,22.6,125.1624,68.1
Botswana,2006,21.8,133.2083,52.6,25.9,132.9497,55.1
Canada,2006,27.4,124.4236,78.2,26.6,118.858,82.8
Switzerland,2006,26.1,130.6158,79,24.1,120.2466,83.8
Chile,2006,26.8,133.0114,75.5,27.7,125.9197,80.9
China,2006,22.8,127.1107,72,22.9,124.0353,77.2
Cote d'Ivoire,2006,22.4,134.0432,51.4,23.6,131.278,53.4
Cameroon,2006,23.5,130.5952,53.5,24.6,126.862,56.2
