country,year,male_bmi,male_bp,male_expectancy,female_bmi,female_bp,female_expectancy
Seychelles,1981,22.3,135.9053,61.9,24.8,130.4484,71
Syria,1981,24.5,129.4852,62.2,26,129.0536,66.8
Chad,1981,20.2,130.0967,41.1,19.2,122.6908,45.6
Togo,1981,20.9,134.004,50.4,20.4,127.5443,53.2
Thailand,1981,20.4,122.6462,60.8,21.6,118.4596,68.6
Tajikistan,1981,24.2,133.8822,57.1,24.3,130.4166,61.7
Turkmenistan,1981,24.4,135.0349,58,24.1,132.0272,64.8
Timor-Leste,1981,19.9,122.2881,24.5,19.6,116.8422,37.8
Tonga,1981,26.5,126.3431,62.6,27.4,119.7909,70.4
Trinidad and Tobago,1981,24.9,131.4406,65.4,26.2,126.0647,69.9
Tunisia,1981,22.3,129.7798,62.8,24.7,130.0726,66.8
Turkey,1981,23.7,125.8768,59.9,26.1,127.1383,66.7
Taiwan,1981,22.5,128.6664,69.9,22.4,123.8285,74.7
Tanzania,1981,21.3,126.2886,49.3,21,122.8886,53.9
Uganda,1981,21.3,130.5775,39.3,20.5,126.4646,47.4
Ukraine,1981,24.9,139.6431,63.8,26.4,135.9581,73.7
Uruguay,1981,24.3,134.6131,67.3,23.4,128.8669,74.7
United States,1981,25.6,130.7478,70.4,25.1,124.9475,77.8
Uzbekistan,1981,24.6,130.3019,60.1,24.2,126.8265,66.4
Venezuela,1981,24.7,136.1214,67.1,24.8,131.9131,71.9
British Virgin Islands,1981,23.8,133.0259,66.5,24.9,127.1408,70.7
Vietnam,1981,19,123.0653,62.6,18.7,117.2861,70.7
Vanuatu,1981,23.3,131.8448,60,23.1,125.0508,64.3
Samoa,1981,26,130.1969,62.1,27.1,122.9548,68.7
South Africa,1981,23.2,135.3102,57.4,27,133.2205,63.8
Zambia,1981,19.7,130.448,52.2,21.4,127.2752,55.8
Zimbabwe,1981,21.5,130.8036,57,25.4,128.982,61.7
Afghanistan,1982,21.4,125.2491,35.2,20.5,122.4872,40.8
Angola,1982,20.9,134.5637,40.3,20.2,129.8756,46.1
Albania,1982,25.3,133.1459,68.4,25.2,132.0324,73.8
Andorra,1982,25.8,139.3727,74.8,25.7,135.3111,81.1
United Arab Emirates,1982,25.2,136.852,68,27.5,133.6435,72.6
Argentina,1982,25.5,130.6854,65.1,24.1,123.8345,73
Armenia,1982,23.9,136.4013,63.3,25.9,135.9257,70.2
Antigua and Barbuda,1982,23.5,132.2538,70.6,24.4,125.6315,76
Australia,1982,25.1,133.8334,71.3,23.9,128.1429,78.3
Austria,1982,24.9,137.41,69.4,24,132.9072,76.6
Azerbaijan,1982,24.6,134.7579,57.5,26.3,131.9372,65.2
Burundi,1982,21.1,129.7005,45.9,19.4,127.4323,48.6
Belgium,1982,25.2,135.4979,70.6,25,130.4689,77.2
Benin,1982,20.9,133.1582,46.4,21.1,126.7783,51.3
Burkina Faso,1982,20.1,130.7953,46.4,19.5,124.5381,48.8
Bangladesh,1982,20.4,123.9478,53.5,18.5,120.8272,51.5
Bulgaria,1982,25.4,135.3325,68.4,25.6,135.0988,74
Bahrain,1982,24.2,134.7106,70.5,25.4,138.1597,72.8
Bahamas,1982,24.4,136.0319,65.2,26,131.3789,71.8
Bosnia and Herzegovina,1982,25.4,132.3998,67.4,25.1,132.2867,74.2
Belarus,1982,24.9,137.9506,65.6,26.2,134.2652,74.8
Belize,1982,24.7,127.6644,66.8,26,121.7443,69.2
Bermuda,1982,25.3,138.9147,69.5,27.7,135.0533,78.2
Bolivia,1982,23.1,129.8725,50.7,23.7,124.8366,53.4
Brazil,1982,22.8,136.1193,60.5,24.2,133.1757,65.3
Barbados,1982,24.5,133.4587,70,26.8,128.8151,74.5
Brunei,1982,23.3,136.4662,68.7,23,131.2605,71.4
Bhutan,1982,21.8,122.9865,48.9,20.3,119.8481,51
Botswana,1982,19.6,132.0206,58.7,23.5,129.6013,64.4
Canada,1982,25.4,130.7018,72.3,24.3,124.5755,79.2
Switzerland,1982,25.2,137.0911,72.8,23.8,130.215,79.4
Chile,1982,24.6,132.9549,67.2,24.3,129.7422,73.6
China,1982,21.6,127.8063,63.2,21.9,124.9655,67.8
Cote d'Ivoire,1982,21.2,135.8894,50.9,21.4,130.4044,55.3
Cameroon,1982,21.9,132.3929,50.9,21.8,126.1332,53.3
"Congo, Dem. Rep.",1982,20.7,133.3125,45,19.9,129.4868,46.8
"Congo, Rep.",1982,20.8,136.5043,54,20.1,133.0764,60.1
Colombia,1982,22.3,131.3559,64.8,23.7,127.202,70.4
Comoros,1982,21,131.1727,50.5,20.9,126.9354,53.5
Cape Verde,1982,20.8,136.1874,61,21.1,129.0467,62.3
Costa Rica,1982,23.8,130.4978,72.8,23.6,124.8362,76.6
Cuba,1982,22.9,130.1601,71.3,24.1,126.5159,75.3
